node_id,node_type,segment_id,role,workflow_name,characteristic,prompt,pain_point_need,artifacts,keywords_phrases,outcomes,prompt_flexibility,instruction_with_example,example_straightforward,example_complex,example_enterprise
BA_WF_001,TASK_TEMPLATE,PRODUCT_MANAGEMENT,BA,Business Requirements Gathering,Gathers business needs,Gather detailed business requirements from stakeholders,Incomplete requirements delay development,"Business Requirements,User Stories","business,requirements,stakeholders,analysis","Launch,Develop",High: User drives discovery,"Conduct stakeholder interviews and document business requirements. Example: Gather chat feature business needs.",Gather chat requirements,Gather health app requirements,Gather enterprise platform requirements"
BA_WF_002,TASK_TEMPLATE,PRODUCT_MANAGEMENT,BA,Process Mapping,Maps current business processes,Document current business processes and workflows,Undocumented processes create confusion,Process Flow Diagrams,"process,mapping,workflow,documentation","Launch,Optimize",Medium: User maps processes,"Create process flow diagrams for current business workflows. Example: Document current communication processes.",Map current chat processes,Map health workflow processes,Map enterprise business processes"
BA_WF_003,TASK_TEMPLATE,PRODUCT_MANAGEMENT,BA,Requirements Validation,Validates business requirements,Validate requirements with stakeholders and ensure completeness,Invalid requirements cause rework,"Validated Requirements,Stakeholder Sign-off","validation,requirements,stakeholders,approval","Launch,Develop",Medium: User confirms validation,"Validate business requirements with stakeholders and get approval. Example: Confirm chat requirements meet needs.",Validate chat requirements,Validate health requirements,Validate enterprise requirements"
BA_WF_004,TASK_TEMPLATE,PRODUCT_MANAGEMENT,BA,Market Positioning Analysis,Analyzes market positioning,Analyze market positioning and competitive landscape,Poor positioning analysis weakens market strategy,"Positioning Analysis,Market Report","positioning,analysis,market,competitive","Launch,Innovate",Medium: User analyzes market,"Conduct market positioning analysis and competitive research. Example: Analyze chat app positioning vs competitors.",Analyze chat positioning,Analyze health positioning,Analyze enterprise positioning"
BA_WF_005,TASK_TEMPLATE,PRODUCT_MANAGEMENT,BA,Stakeholder Alignment,Aligns stakeholder expectations,Facilitate stakeholder alignment and priority setting,Misaligned stakeholders derail projects,"Workshop Summary,Priority Matrix","stakeholders,alignment,priorities,facilitation","Launch,Develop",High: User facilitates alignment,"Run stakeholder workshops to align priorities and expectations. Example: Align team on chat feature priorities.",Align chat stakeholders,Align health stakeholders,Align enterprise stakeholders"
BA_WF_006,TASK_TEMPLATE,PRODUCT_MANAGEMENT,BA,Business Impact Analysis,Analyzes business impact,Analyze business impact and value proposition,Unclear business value reduces investment,"Business Impact Report,ROI Analysis","impact,analysis,value,ROI","Launch,Innovate",Medium: User analyzes impact,"Analyze business impact and create value proposition. Example: Calculate chat feature ROI and benefits.",Analyze chat impact,Analyze health app impact,Analyze enterprise platform impact"
BA_WF_010,TASK_TEMPLATE,PRODUCT_MANAGEMENT,BA,Customer Discovery Facilitation,Facilitates customer discovery,Facilitate customer discovery sessions and synthesis,Poor customer discovery leads to wrong solutions,"Customer Discovery Report,Insights Summary","customer,discovery,facilitation,insights","Launch,Innovate",High: User facilitates discovery,"Facilitate customer discovery sessions and synthesize insights. Example: Run customer interviews for chat needs.",Facilitate chat discovery,Facilitate health discovery,Facilitate enterprise discovery"
PRODO_WF_001,TASK_TEMPLATE,PRODUCT_MANAGEMENT,PRODO,Prioritize Vision Backlog,Prioritizes development work,Prioritize backlog items based on vision and value,Unprioritized backlogs slow development,Prioritized Backlog,"prioritization,backlog,vision,value","Launch,Develop",Medium: User sets priorities,"Prioritize backlog items based on business value and technical feasibility. Example: Prioritize chat features by user impact.",Prioritize chat features,Prioritize health features,Prioritize enterprise features"
PRODO_WF_002,TASK_TEMPLATE,PRODUCT_MANAGEMENT,PRODO,Sprint Planning,Plans development sprints,Plan sprint work and coordinate development activities,Poor sprint planning causes delivery delays,"Sprint Plan,Development Schedule","sprint,planning,development,coordination","Launch,Develop",High: User plans sprints,"Plan development sprints and coordinate team activities. Example: Plan 2-week chat feature sprint.",Plan chat sprint,Plan health sprint,Plan enterprise sprint"
PRODO_WF_003,TASK_TEMPLATE,PRODUCT_MANAGEMENT,PRODO,Development Coordination,Coordinates development work,Coordinate development activities and remove blockers,Poor coordination delays delivery,"Coordination Updates,Blocker Resolution","coordination,development,blockers,communication","Launch,Develop",High: User coordinates actively,"Coordinate development work and resolve blockers. Example: Coordinate chat feature development across teams.",Coordinate chat development,Coordinate health development,Coordinate enterprise development"
PRODO_WF_003a,TASK_TEMPLATE,PRODUCT_MANAGEMENT,PRODO,Sprint Review and Retrospective,Reviews sprint outcomes,Review sprint results and plan improvements,Lack of retrospection repeats mistakes,"Sprint Review,Retrospective Notes","review,retrospective,improvement,learning","Launch,Optimize",Medium: User facilitates review,"Conduct sprint review and retrospective sessions. Example: Review chat feature sprint and identify improvements.",Review chat sprint,Review health sprint,Review enterprise sprint"
PRODO_WF_004,TASK_TEMPLATE,PRODUCT_MANAGEMENT,PRODO,Feature Delivery Finalization,Finalizes feature delivery,Finalize feature delivery and ensure quality standards,Incomplete delivery causes customer issues,"Delivery Package,Quality Checklist","delivery,finalization,quality,standards","Launch,Deliver",Medium: User ensures quality,"Finalize feature delivery and ensure all quality standards are met. Example: Complete chat feature delivery checklist.",Finalize chat delivery,Finalize health delivery,Finalize enterprise delivery
