source_node_id,target_node_id,relationship_type,workflow_context,dependency_type,priority_score
PRODM_WF_004,BA_WF_005,DEPENDS_ON,REFINE_001,Hard,1
BA_WF_005,PRODO_WF_001,DEPENDS_ON,REFINE_001,Hard,2
PRODO_WF_001,PRODM_WF_002a,DEPENDS_ON,REFINE_001,Hard,2
PRODM_WF_004,BA_WF_006,DEPENDS_ON,TELEMETRY_001,Hard,1
BA_WF_006,PRODO_WF_003a,DEPENDS_ON,TELEMETRY_001,Hard,2
PRODO_WF_003a,PRODM_WF_002a,DEPENDS_ON,TELEMETRY_001,Hard,2
PRODM_WF_002,BSA_WF_003,DEPENDS_ON,DEBT_001,Hard,1
BSA_WF_003,PRODO_WF_003a,DEPENDS_ON,DEBT_001,Hard,2
PRODO_WF_003a,PRODM_WF_002a,DEPENDS_ON,DEBT_001,Hard,2
PRODM_WF_002,BA_WF_005,DEPENDS_ON,POST_001,Hard,1
BA_WF_005,PRODO_WF_003a,DEPENDS_ON,POST_001,Hard,2
PRODO_WF_003a,PRODM_WF_002a,DEPENDS_ON,POST_001,Hard,2
PRODM_WF_002,BA_WF_006,DEPENDS_ON,COMPLY_001,Hard,1
BA_WF_006,BSA_WF_003,DEPENDS_ON,COMPLY_001,Hard,2
BSA_WF_003,PRODO_WF_003a,DEPENDS_ON,COMPLY_001,Hard,2
PRODM_WF_004,BA_WF_002,DEPENDS_ON,MODERN_001,Hard,1
BA_WF_002,BSA_WF_002,DEPENDS_ON,MODERN_001,Hard,2
BSA_WF_002,PRODO_WF_001,DEPENDS_ON,MODERN_001,Hard,2
PRODM_WF_010,BA_WF_010,DEPENDS_ON,ONBOARD_001,Hard,1
BA_WF_010,BSA_WF_010,DEPENDS_ON,ONBOARD_001,Hard,2
BSA_WF_010,PRODO_WF_001,DEPENDS_ON,ONBOARD_001,Hard,2
PRODO_WF_001,PRODM_WF_002a,DEPENDS_ON,ONBOARD_001,Hard,2
PRODM_WF_010,BA_WF_010,DEPENDS_ON,VOC_001,Hard,1
BA_WF_010,BSA_WF_010,DEPENDS_ON,VOC_001,Hard,2
BSA_WF_010,PRODO_WF_003a,DEPENDS_ON,VOC_001,Hard,2
PRODO_WF_003a,PRODM_WF_002a,DEPENDS_ON,VOC_001,Hard,2
PRODM_WF_004,BA_WF_006,DEPENDS_ON,INNOVATE_001,Hard,1
BA_WF_006,BSA_WF_002,DEPENDS_ON,INNOVATE_001,Hard,2
BSA_WF_002,PRODO_WF_001,DEPENDS_ON,INNOVATE_001,Hard,2
PRODO_WF_001,PRODM_WF_002a,DEPENDS_ON,INNOVATE_001,Hard,2
PRODM_WF_002,BA_WF_005,DEPENDS_ON,DEPRECATE_001,Hard,1
BA_WF_005,BSA_WF_003,DEPENDS_ON,DEPRECATE_001,Hard,2
BSA_WF_003,PRODO_WF_004,DEPENDS_ON,DEPRECATE_001,Hard,2
PRODO_WF_004,PRODM_WF_002a,DEPENDS_ON,DEPRECATE_001,Hard,2
PRODM_WF_004,BA_WF_006,DEPENDS_ON,PORTFOLIO_001,Hard,1
BA_WF_006,BSA_WF_002,DEPENDS_ON,PORTFOLIO_001,Hard,2
BSA_WF_002,PRODO_WF_001,DEPENDS_ON,PORTFOLIO_001,Hard,2
PRODO_WF_001,PRODM_WF_002a,DEPENDS_ON,PORTFOLIO_001,Hard,2
